v2	D(Id(M1))/D(v2)
0.000000000000000e+000	1.421058e-007
1.000000000000000e-002	1.623641e-007
2.000000000000000e-002	2.088912e-007
3.000000000000000e-002	2.691001e-007
4.000000000000000e-002	3.467329e-007
5.000000000000000e-002	4.464674e-007
6.000000000000001e-002	5.741216e-007
7.000000000000001e-002	7.368961e-007
8.000000000000000e-002	9.436620e-007
9.000000000000000e-002	1.205300e-006
9.999999999999999e-002	1.535105e-006
1.100000000000000e-001	1.949270e-006
1.200000000000000e-001	2.467447e-006
1.300000000000000e-001	3.113415e-006
1.400000000000000e-001	3.915822e-006
1.500000000000000e-001	4.908996e-006
1.600000000000000e-001	6.133752e-006
1.700000000000000e-001	7.638084e-006
1.800000000000000e-001	9.477576e-006
1.900000000000000e-001	1.171531e-005
2.000000000000000e-001	1.442103e-005
2.100000000000001e-001	1.766932e-005
2.200000000000001e-001	2.153658e-005
2.300000000000001e-001	2.609677e-005
2.400000000000001e-001	3.141616e-005
2.500000000000001e-001	3.754736e-005
2.600000000000001e-001	4.452334e-005
2.700000000000001e-001	5.235214e-005
2.800000000000001e-001	6.101320e-005
2.900000000000001e-001	7.045568e-005
3.000000000000001e-001	8.059942e-005
3.100000000000001e-001	9.133844e-005
3.200000000000001e-001	1.025403e-004
3.300000000000001e-001	1.140165e-004
3.400000000000001e-001	1.256036e-004
3.500000000000001e-001	1.371910e-004
3.600000000000002e-001	1.486532e-004
3.700000000000002e-001	1.598726e-004
3.800000000000002e-001	1.707499e-004
3.900000000000002e-001	1.812051e-004
4.000000000000002e-001	1.911785e-004
4.100000000000002e-001	2.006291e-004
4.200000000000002e-001	2.095327e-004
4.300000000000002e-001	2.178796e-004
4.400000000000002e-001	2.256726e-004
4.500000000000002e-001	2.329236e-004
4.600000000000002e-001	2.396517e-004
4.700000000000003e-001	2.458813e-004
4.800000000000003e-001	2.516403e-004
4.900000000000003e-001	2.569577e-004
5.000000000000002e-001	2.618639e-004
5.100000000000002e-001	2.663888e-004
5.200000000000002e-001	2.705614e-004
5.300000000000003e-001	2.744096e-004
5.400000000000003e-001	2.779596e-004
5.500000000000003e-001	2.812358e-004
5.600000000000003e-001	2.842608e-004
5.700000000000003e-001	2.870553e-004
5.800000000000003e-001	2.896386e-004
5.900000000000003e-001	2.920278e-004
6.000000000000003e-001	2.942383e-004
6.100000000000003e-001	2.962846e-004
6.200000000000003e-001	2.981793e-004
6.300000000000003e-001	2.999343e-004
6.400000000000004e-001	3.015601e-004
6.500000000000004e-001	3.030655e-004
6.600000000000004e-001	3.044595e-004
6.700000000000004e-001	3.057496e-004
6.800000000000004e-001	3.069432e-004
6.900000000000004e-001	3.080466e-004
7.000000000000004e-001	3.090649e-004
7.100000000000004e-001	3.100042e-004
7.200000000000004e-001	3.108689e-004
7.300000000000004e-001	3.116631e-004
7.400000000000004e-001	3.123911e-004
7.500000000000004e-001	3.130568e-004
7.600000000000005e-001	3.136636e-004
7.700000000000005e-001	3.142140e-004
7.800000000000005e-001	3.147121e-004
7.900000000000005e-001	3.151603e-004
8.000000000000005e-001	3.155597e-004
8.100000000000005e-001	3.159141e-004
8.200000000000005e-001	3.162255e-004
8.300000000000005e-001	3.164954e-004
8.400000000000005e-001	3.167268e-004
8.500000000000005e-001	3.169203e-004
8.600000000000005e-001	3.170790e-004
8.700000000000006e-001	3.172034e-004
8.800000000000006e-001	3.172943e-004
8.900000000000006e-001	3.173554e-004
9.000000000000006e-001	3.173867e-004
9.100000000000006e-001	3.173896e-004
9.200000000000006e-001	3.173649e-004
9.300000000000006e-001	3.173147e-004
9.400000000000006e-001	3.172398e-004
9.500000000000006e-001	3.171401e-004
9.600000000000006e-001	3.170186e-004
9.700000000000006e-001	3.168752e-004
9.800000000000007e-001	3.167101e-004
9.900000000000007e-001	3.165253e-004
1.000000000000001e+000	3.163215e-004
