v2	D(Id(M1))/D(v2)
0.000000000000000e+000	3.079048e-007
1.000000000000000e-002	3.529217e-007
2.000000000000000e-002	4.556779e-007
3.000000000000000e-002	5.871950e-007
4.000000000000000e-002	7.548755e-007
5.000000000000000e-002	9.678076e-007
6.000000000000001e-002	1.237086e-006
7.000000000000001e-002	1.576180e-006
8.000000000000000e-002	2.001353e-006
9.000000000000000e-002	2.532138e-006
9.999999999999999e-002	3.191860e-006
1.100000000000000e-001	4.008199e-006
1.200000000000000e-001	5.013743e-006
1.300000000000000e-001	6.246466e-006
1.400000000000000e-001	7.750016e-006
1.500000000000000e-001	9.573640e-006
1.600000000000000e-001	1.177154e-005
1.700000000000000e-001	1.440146e-005
1.800000000000000e-001	1.752225e-005
1.900000000000000e-001	2.119039e-005
2.000000000000000e-001	2.545548e-005
2.100000000000001e-001	3.035508e-005
2.200000000000001e-001	3.590930e-005
2.300000000000001e-001	4.211605e-005
2.400000000000001e-001	4.894760e-005
2.500000000000001e-001	5.634917e-005
2.600000000000001e-001	6.424004e-005
2.700000000000001e-001	7.251722e-005
2.800000000000001e-001	8.106115e-005
2.900000000000001e-001	8.974298e-005
3.000000000000001e-001	9.843225e-005
3.100000000000001e-001	1.070043e-004
3.200000000000001e-001	1.153398e-004
3.300000000000001e-001	1.232921e-004
3.400000000000001e-001	1.307723e-004
3.500000000000001e-001	1.377650e-004
3.600000000000002e-001	1.442445e-004
3.700000000000002e-001	1.501951e-004
3.800000000000002e-001	1.556158e-004
3.900000000000002e-001	1.605184e-004
4.000000000000002e-001	1.649244e-004
4.100000000000002e-001	1.688612e-004
4.200000000000002e-001	1.723613e-004
4.300000000000002e-001	1.754594e-004
4.400000000000002e-001	1.781907e-004
4.500000000000002e-001	1.805898e-004
4.600000000000002e-001	1.826908e-004
4.700000000000003e-001	1.845256e-004
4.800000000000003e-001	1.861228e-004
4.900000000000003e-001	1.875098e-004
5.000000000000002e-001	1.887111e-004
5.100000000000002e-001	1.897486e-004
5.200000000000002e-001	1.906423e-004
5.300000000000003e-001	1.914092e-004
5.400000000000003e-001	1.920645e-004
5.500000000000003e-001	1.926222e-004
5.600000000000003e-001	1.930939e-004
5.700000000000003e-001	1.934901e-004
5.800000000000003e-001	1.938201e-004
5.900000000000003e-001	1.940911e-004
6.000000000000003e-001	1.943105e-004
6.100000000000003e-001	1.944840e-004
6.200000000000003e-001	1.946166e-004
6.300000000000003e-001	1.947137e-004
6.400000000000004e-001	1.947785e-004
6.500000000000004e-001	1.948138e-004
6.600000000000004e-001	1.948240e-004
6.700000000000004e-001	1.948112e-004
6.800000000000004e-001	1.947770e-004
6.900000000000004e-001	1.947235e-004
7.000000000000004e-001	1.946533e-004
7.100000000000004e-001	1.945678e-004
7.200000000000004e-001	1.944678e-004
7.300000000000004e-001	1.943543e-004
7.400000000000004e-001	1.942291e-004
7.500000000000004e-001	1.940931e-004
7.600000000000005e-001	1.939461e-004
7.700000000000005e-001	1.937904e-004
7.800000000000005e-001	1.936256e-004
7.900000000000005e-001	1.934524e-004
8.000000000000005e-001	1.932724e-004
8.100000000000005e-001	1.930846e-004
8.200000000000005e-001	1.928904e-004
8.300000000000005e-001	1.926899e-004
8.400000000000005e-001	1.924840e-004
8.500000000000005e-001	1.922723e-004
8.600000000000005e-001	1.920554e-004
8.700000000000006e-001	1.918343e-004
8.800000000000006e-001	1.916080e-004
8.900000000000006e-001	1.913777e-004
9.000000000000006e-001	1.911438e-004
9.100000000000006e-001	1.909055e-004
9.200000000000006e-001	1.906636e-004
9.300000000000006e-001	1.904187e-004
9.400000000000006e-001	1.901710e-004
9.500000000000006e-001	1.899192e-004
9.600000000000006e-001	1.896653e-004
9.700000000000006e-001	1.894092e-004
9.800000000000007e-001	1.891494e-004
9.900000000000007e-001	1.888875e-004
1.000000000000000e+000	1.887558e-004
